,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,316389.9789439916,1548243914.0946257,5.4479832383304256e-05
1,215357767.94081548,1548256079.4036264,0.020648045636797528
2,7537315.557326451,1548244196.0707037,0.0006412773393136644
3,16263228.633191673,1548244072.779341,0.0012218244643090821
4,5817594.1628522705,1548244277.3030865,0.000789836365015676
5,14897901.926157817,1548244888.611501,0.0020026491923350155
6,1321477.8357358708,1548243975.9133172,0.0001862147546357897
7,7497211.8663103795,1548244194.917133,0.0006345472584483731
8,5793826.692977105,1548244195.4163482,0.0006374597440965974
9,0.0,1548243888.6159842,0.0
10,570255281.4641485,1548262948.7698839,0.0674092807236523
11,51893128.62247016,1548246730.8151672,0.005300941521495076
12,0.0,1548243888.6159842,0.0
13,66346068.55935682,1548244654.8727267,0.005083699870994701
14,67076016.11258563,1548246723.5210083,0.005273866294423002
15,244557100.67831635,1548261269.281273,0.029172381703837257
16,311119941.4455382,1548261635.0235825,0.0299558277984732
17,1307901.0078833168,1548243975.2775147,0.00018250539958185248
18,29262430.88517498,1548245884.9757266,0.0038066221974616845
19,0.0,1548243888.6159842,0.0
20,4592241.819919402,1548244131.8091514,0.0005051169784018753
21,5863183.083285611,1548244279.4542928,0.0008020283990441893
22,5811366.123178458,1548244196.0707037,0.0006412773393136644
23,6412485.005673931,1548244409.3343406,0.0010744183865894121
24,577256.2258768813,1548243919.0017939,6.476153060077248e-05
25,2164659.755418536,1548243976.2943203,0.0001884375759608585
26,277788477.793127,1548256056.8521736,0.020567292940271573
27,34139159.45705513,1548246746.2882216,0.005358759042397011
28,24012001.375943583,1548244881.1060374,0.0019706395683392877
29,0.0,1548243888.6159842,0.0
30,48251863.95366312,1548245904.320336,0.003880878193269217
31,180396.91986748757,1548243900.5186875,2.5519428851010392e-05
32,0.0,1548243888.6159842,0.0
33,1657420.021113957,1548243975.863037,0.00018592141351911755
34,80786459.5259671,1548249544.7152338,0.010006151521017888
35,47572187.22809253,1548245882.81481,0.003798450352150518
36,6359564.028044796,1548244406.3115215,0.001056782865680624
37,3783302.1472420567,1548244195.3623843,0.0006371449117052747
38,18520489.643514365,1548244881.383611,0.00197184103687814
39,0.0,1548243888.6159842,0.0
40,7560606.64288972,1548244196.7406647,0.0006451859792744703
41,14883636.706902688,1548244887.8902597,0.001999612671532309
42,4407925.417630044,1548244068.1639981,0.00037678702829726043
43,11785370.755822988,1548244514.683694,0.0012838368542651283
44,3688588.6833521505,1548244133.2197845,0.0005133467953300183
45,1251272423.7378235,1548263239.3464901,0.12838165166233007
46,17864304.240890063,1548245363.4458773,0.002880345164199825
47,84212832.98677441,1548247464.5846672,0.0065638051563868625
48,0.0,1548243888.6159842,0.0
49,148722.05325704315,1548243900.5656312,2.5793303384698872e-05
50,0.0,1853929880.2036388,0.0
51,640547.163118758,1853929925.2366745,6.982853698866264e-05
52,0.0,1853929880.2036388,0.0
53,0.0,1853929880.2036388,0.0
54,0.0,1853929880.2036388,0.0
55,0.0,1853929880.2036388,0.0
56,1702417.8778252222,1853930042.5867028,0.00013451874669365615
57,16136197.45225855,1853930936.7223935,0.0006668023722803615
58,0.0,1853929880.2036388,0.0
59,4220838.299699701,1853930134.6042888,0.00019786584578962573
60,345291.9626792007,1853929917.8471296,3.576488095237973e-05
61,0.0,1853929880.2036388,0.0
62,12487843.342287429,1853930982.2380168,0.0017379362317329827
63,0.0,1853929880.2036388,0.0
64,661087.2447459302,1853929917.1852646,3.380697338665067e-05
65,5434122.480337639,1853930391.9958565,0.0005006456486011761
66,7386607.535801055,1853930352.3628354,0.000885575709612718
67,0.0,1853929880.2036388,0.0
68,94256144.0234846,1853936666.8977659,0.009956564933845865
69,3196064.3526585167,1853930279.1775594,0.0002812455095126205
70,12615191.82321995,1853930947.9307206,0.0006801791146484055
71,0.0,1853929880.2036388,0.0
72,1509624.566452203,1853930003.3681273,0.00016701607936841893
73,3427101.2523668134,1853930292.6280892,0.00031681360812663454
74,0.0,1853929880.2036388,0.0
75,26621714.086867537,1853931581.7186792,0.0026112059982749845
76,118434730.95774888,1853937591.8819785,0.011179709571973808
77,0.0,1853929880.2036388,0.0
78,3596866.488589149,1853930093.6211262,0.0001719339407514875
79,8319517.560954872,1853930562.7941406,0.0010419656253410911
80,20030248.637125798,1853931102.7087162,0.0018882446308838275
81,820773.7633812298,1853929956.002642,6.730273560926747e-05
82,0.0,1853929880.2036388,0.0
83,0.0,1853929880.2036388,0.0
84,11364456.000210252,1853930807.423067,0.0014228954711240696
85,13634698.522046734,1853930695.0237656,0.00125454437248604
86,0.0,1853929880.2036388,0.0
87,339854.2654704513,1853929917.5563293,3.490464456497311e-05
88,0.0,1853929880.2036388,0.0
89,518715.2359939059,1853929925.9450216,7.104165090294705e-05
90,0.0,1853929880.2036388,0.0
91,3846832.673747283,1853930219.300135,0.0005270750963419949
92,282176944.3948675,1853949541.3546562,0.025524791956766026
93,0.0,1853929880.2036388,0.0
94,0.0,1853929880.2036388,0.0
95,15636866.062826915,1853931928.8992195,0.001258123862000028
96,0.0,1853929880.2036388,0.0
97,15987020.056181807,1853930823.7761278,0.0014509017015705864
98,832542.7083491163,1853929925.733213,6.663115421155845e-05
99,340298.20655777305,1853929917.5800705,3.497487544810586e-05
100,0.0,1837709981.976887,0.0
101,1677772.3439523526,1837710052.8153322,0.00023793907123490616
102,0.0,1837709981.976887,0.0
103,0.0,1837709981.976887,0.0
104,0.0,1837709981.976887,0.0
105,0.0,1837709981.976887,0.0
106,0.0,1837709981.976887,0.0
107,0.0,1837709981.976887,0.0
108,0.0,1837709981.976887,0.0
109,0.0,1837709981.976887,0.0
110,1783429.5568884127,1837710097.2340395,0.00038754731931615736
111,0.0,1837709981.976887,0.0
112,6905925.314670961,1837710289.051088,0.002232445489691526
113,0.0,1837709981.976887,0.0
114,0.0,1837709981.976887,0.0
115,4687270.167877453,1837710231.6248517,0.0008212588903802048
116,19125527.01220446,1837710800.7067487,0.0025927770446619253
117,0.0,1837709981.976887,0.0
118,3034954.179541255,1837710168.782756,0.0005125496823325242
119,0.0,1837709981.976887,0.0
120,0.0,1837709981.976887,0.0
121,0.0,1837709981.976887,0.0
122,0.0,1837709981.976887,0.0
123,0.0,1837709981.976887,0.0
124,0.0,1837709981.976887,0.0
125,0.0,1837709981.976887,0.0
126,2168402.69420211,1837710052.6379669,0.0002363321308692165
127,0.0,1837709981.976887,0.0
128,0.0,1837709981.976887,0.0
129,0.0,1837709981.976887,0.0
130,0.0,1837709981.976887,0.0
131,0.0,1837709981.976887,0.0
132,0.0,1837709981.976887,0.0
133,0.0,1837709981.976887,0.0
134,0.0,1837709981.976887,0.0
135,0.0,1837709981.976887,0.0
136,0.0,1837709981.976887,0.0
137,0.0,1837709981.976887,0.0
138,0.0,1837709981.976887,0.0
139,0.0,1837709981.976887,0.0
140,0.0,1837709981.976887,0.0
141,0.0,1837709981.976887,0.0
142,22924896.61283894,1837710864.2904236,0.0023289316604841316
143,0.0,1837709981.976887,0.0
144,0.0,1837709981.976887,0.0
145,310538.4559926458,1837710006.6661594,3.783365365108937e-05
146,0.0,1837709981.976887,0.0
147,0.0,1837709981.976887,0.0
148,0.0,1837709981.976887,0.0
149,0.0,1837709981.976887,0.0
150,26596078.488474123,1794579999.9780962,0.06880730228915206
151,53712033.030351475,1794579999.9780962,0.04811138457752451
152,48974994.58647786,1794579999.9780962,0.06634010404915913
153,19405258.501293626,1794579999.9780962,0.03437227430993227
154,74430271.17367397,1794579999.9780962,0.15864296497308417
155,106204990.10472998,1794579999.9780962,0.2242497964023309
156,33885837.42091505,1794579999.9780962,0.039503732702909224
157,32711721.934167743,1794579999.9780962,0.026430503108029562
158,676966455.4363706,1794579999.9780962,1.0944533912284773
159,290031524.15115523,1794579999.9780962,0.37577880179584916
160,19236063.758302,1794579999.9780962,0.027036563005778162
161,682756251.1335669,1794579999.9780962,1.0932574255463723
162,555876649.079561,1794579999.9780962,1.122526385612982
163,227217040.82861257,1794579999.9780962,0.3825756076485676
164,68988300.18832077,1794579999.9780962,0.06750840377271665
165,432345860.5938151,1794579999.9780962,0.8342121204977855
166,143217504.07589516,1794579999.9780962,0.12387920742081862
167,18469348.31909653,1794579999.9780962,0.04072095050468334
168,261325678.53349456,1794579999.9780962,0.29842385982118685
169,32533248.727681454,1794579999.9780962,0.052407680668958435
170,52564968.80675953,1794579999.9780962,0.07174702127045095
171,19603155.234123018,1794579999.9780962,0.030024330229381384
172,124849866.74251206,1794579999.9780962,0.14139605016144133
173,28127522.208331667,1794579999.9780962,0.06927546140279772
174,6706455.881473149,1794579999.9780962,0.011987011570093107
175,228478804.6310478,1794579999.9780962,0.15695876600017208
176,472356063.4242866,1794579999.9780962,0.30692578109643537
177,76559357.93294702,1794579999.9780962,0.19537868875750125
178,50615187.510791145,1794579999.9780962,0.06682086358397449
179,101585579.3019937,1794579999.9780962,0.12729837299564284
180,329948969.37197936,1794579999.9780962,0.3562069124214426
181,30021369.13853618,1794579999.9780962,0.0660987333855594
182,24708606.11761035,1794579999.9780962,0.0665595653689797
183,31295025.9727269,1794579999.9780962,0.048109066317338814
