,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,0.0,2201011096.019763,0.0
1,4045918.6653223094,2201011244.184555,0.0005057247222541479
2,0.0,2201011096.019763,0.0
3,0.0,2201011096.019763,0.0
4,4094553.9541624077,2201011245.456226,0.0005172461358219509
5,0.0,2201011096.019763,0.0
6,0.0,2201011096.019763,0.0
7,0.0,2201011096.019763,0.0
8,0.0,2201011096.019763,0.0
9,0.0,2201011096.019763,0.0
10,0.0,2201011096.019763,0.0
11,0.0,2201011096.019763,0.0
12,11782885.389589947,2201011724.924347,0.002050188583315267
13,3263615.9972433425,2201011209.054727,0.000857999742076093
14,0.0,2201011096.019763,0.0
15,3020113.146746548,2201011320.8783894,0.0006282179569878618
16,0.0,2201011096.019763,0.0
17,0.0,2201011096.019763,0.0
18,0.0,2201011096.019763,0.0
19,0.0,2201011096.019763,0.0
20,0.0,2201011096.019763,0.0
21,3683694.0583655196,2201011320.8783894,0.0006282179569878618
22,27840317.81237629,2201012008.1935873,0.002981407059815467
23,0.0,2201011096.019763,0.0
24,0.0,2201011096.019763,0.0
25,3186901.814020895,2201011244.928937,0.0005124688667993744
26,0.0,2201011096.019763,0.0
27,4021095.3472500555,2201011243.5354986,0.0004998442243593817
28,0.0,2201011096.019763,0.0
29,5997188.652104854,2201011320.8783894,0.0006282179569878618
30,0.0,2201011096.019763,0.0
31,0.0,2201011096.019763,0.0
32,26627180.35948716,2201012520.863616,0.004594231993691937
33,0.0,2201011096.019763,0.0
34,0.0,2201011096.019763,0.0
35,0.0,2201011096.019763,0.0
36,0.0,2201011096.019763,0.0
37,16671372.499944026,2201011883.0729904,0.0025945419997115034
38,0.0,2201011096.019763,0.0
39,0.0,2201011096.019763,0.0
40,0.0,2201011096.019763,0.0
41,0.0,2201011096.019763,0.0
42,6350799.883060099,2201011419.6332016,0.0010980391104516746
43,0.0,2201011096.019763,0.0
44,0.0,2201011096.019763,0.0
45,0.0,2201011096.019763,0.0
46,0.0,2201011096.019763,0.0
47,2925503.5045506423,2201011244.6804276,0.0005102173566602475
48,0.0,2201011096.019763,0.0
49,0.0,2201011096.019763,0.0
50,2310182.6735468255,2201011244.6105585,0.0005095843345733444
51,0.0,2201011096.019763,0.0
52,0.0,2201011096.019763,0.0
53,0.0,2201011096.019763,0.0
54,0.0,2201011096.019763,0.0
55,18020772.620425858,2201011880.7694526,0.0025736718070789814
56,0.0,2201011096.019763,0.0
57,0.0,2201011096.019763,0.0
58,0.0,2201011096.019763,0.0
59,0.0,2201011096.019763,0.0
60,0.0,2201011096.019763,0.0
61,0.0,2201011096.019763,0.0
62,0.0,2201011096.019763,0.0
63,0.0,2201011096.019763,0.0
64,0.0,2201011096.019763,0.0
65,0.0,2201011096.019763,0.0
66,0.0,2201011096.019763,0.0
67,24219047.502313696,2201012520.4567413,0.004590545683961845
68,0.0,2201011096.019763,0.0
69,0.0,2201011096.019763,0.0
70,0.0,2201011096.019763,0.0
71,0.0,2201011096.019763,0.0
72,19859456.86213585,2201012612.3481865,0.004011888165018433
73,140893768.58979183,2201016987.904828,0.017410942429375454
74,0.0,2201011096.019763,0.0
75,2792393.0549517334,2201011243.6537104,0.0005009152367211764
76,10500332.805492703,2201011633.195821,0.0017928596893638125
